dataset,dataset_shape,javascript_runtime,javascript_score,model,params,python_runtime,python_score
tokyo1,"(959, 44)",480.508212,0.9458333333333333,DecisionTreeClassifier,"{""max_depth"":4}",9.35220718383789,0.9458333333333333
twonorm,"(1000, 20)",399.670049,0.732,DecisionTreeClassifier,"{""max_depth"":4}",8.435964584350586,0.728
vehicle,"(846, 18)",231.195499,0.6839622641509434,DecisionTreeClassifier,"{""max_depth"":4}",3.450155258178711,0.6792452830188679
vote,"(435, 16)",67.631909,0.9541284403669725,DecisionTreeClassifier,"{""max_depth"":4}",1.1055469512939453,0.944954128440367
vowel,"(990, 13)",295.838913,0.45161290322580644,DecisionTreeClassifier,"{""max_depth"":4}",5.4492950439453125,0.45161290322580644
waveform-21,"(1000, 21)",331.768249,0.732,DecisionTreeClassifier,"{""max_depth"":4}",9.341716766357422,0.732
waveform-40,"(1000, 40)",523.364211,0.728,DecisionTreeClassifier,"{""max_depth"":4}",13.251304626464844,0.728
wdbc,"(569, 30)",259.326486,0.9090909090909091,DecisionTreeClassifier,"{""max_depth"":4}",5.513668060302734,0.8811188811188811
wine-quality-red,"(1000, 11)",148.923057,0.604,DecisionTreeClassifier,"{""max_depth"":4}",3.1461715698242188,0.6
wine-quality-white,"(1000, 11)",150.693578,0.472,DecisionTreeClassifier,"{""max_depth"":4}",2.245664596557617,0.48
wine-recognition,"(178, 13)",48.638168,0.9333333333333333,DecisionTreeClassifier,"{""max_depth"":4}",0.9503364562988281,0.9333333333333333
xd6,"(973, 9)",23.988425,0.819672131147541,DecisionTreeClassifier,"{""max_depth"":4}",0.8690357208251953,0.819672131147541
yeast,"(1000, 8)",48.374163,0.536,DecisionTreeClassifier,"{""max_depth"":4}",1.2540817260742188,0.536
